Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2025-01-28 03:30:00,102353.15,102606.07,102285.48,102601.99,184.04943,2025-01-28 03:44:59.999,18862052.5640328,43883,111.2307,11399677.6325923,0
2025-01-28 03:45:00,102606.03,102880.0,102545.45,102636.32,295.73261,2025-01-28 03:59:59.999,30381187.5773839,45825,140.34649,14417549.0322176,0
2025-01-28 04:00:00,102636.32,102862.77,102600.0,102800.0,135.82502,2025-01-28 04:14:59.999,13956776.4199699,46394,59.46745,6110333.8410754,0
2025-01-28 04:15:00,102800.0,103022.3,102663.61,103013.79,201.35833,2025-01-28 04:29:59.999,20717368.6892813,29178,143.24375,14741918.8180652,0
2025-01-28 04:30:00,103013.78,103371.24,103001.71,103117.73,357.71927,2025-01-28 04:44:59.999,36920448.2039616,66319,198.95437,20532642.9860687,0
2025-01-28 04:45:00,103117.72,103133.63,102899.9,102901.45,147.40816,2025-01-28 04:59:59.999,15185397.3719617,29011,44.87561,4622829.2394944,0
2025-01-28 05:00:00,102901.45,103168.36,102901.45,102973.53,182.9104,2025-01-28 05:14:59.999,18849918.9297158,27697,94.87279,9777049.1405804,0
2025-01-28 05:15:00,102973.52,103092.81,102812.9,103035.99,153.83675,2025-01-28 05:29:59.999,15843220.9016061,25084,63.55913,6545255.8135869,0
2025-01-28 05:30:00,103036.0,103283.33,102988.14,103221.81,148.13094,2025-01-28 05:44:59.999,15279502.9865815,28202,71.98768,7427960.4318637,0
2025-01-28 05:45:00,103221.81,103339.61,102911.2,103014.59,115.4496,2025-01-28 05:59:59.999,11914649.4933057,33230,45.63884,4709694.8999313,0
2025-01-28 06:00:00,103014.6,103200.0,102910.53,102950.83,116.26305,2025-01-28 06:14:59.999,11981502.6240758,34822,49.19921,5071047.81218,0
2025-01-28 06:15:00,102950.83,102980.0,102757.17,102849.98,105.81965,2025-01-28 06:29:59.999,10886063.5502526,19373,27.8291,2863042.1365799,0
2025-01-28 06:30:00,102849.99,102911.51,102599.2,102676.97,131.75948,2025-01-28 06:44:59.999,13538613.6331544,31411,42.43698,4361535.0268375,0
2025-01-28 06:45:00,102676.96,102872.0,102652.0,102744.38,110.25484,2025-01-28 06:59:59.999,11331050.0384975,28993,58.46202,6007883.3000592,0
2025-01-28 07:00:00,102744.39,103065.0,102527.39,103025.84,166.46238,2025-01-28 07:14:59.999,17111214.5222122,35377,78.68252,8089958.4099183,0
2025-01-28 07:15:00,103025.85,103320.0,103018.96,103272.66,186.97917,2025-01-28 07:29:59.999,19290341.9841626,38575,109.4126,11287354.6611086,0
2025-01-28 07:30:00,103272.66,103343.65,102857.83,102857.83,200.06821,2025-01-28 07:44:59.999,20621980.1854025,41126,91.6319,9445231.3396453,0
2025-01-28 07:45:00,102857.84,102924.0,102616.23,102789.72,194.21221,2025-01-28 07:59:59.999,19952017.6058943,28235,118.58974,12182551.1464834,0
2025-01-28 08:00:00,102789.72,102913.69,102607.34,102833.51,135.76035,2025-01-28 08:14:59.999,13950177.7898311,38722,66.39982,6822902.238013,0
2025-01-28 08:15:00,102833.52,103028.53,102760.22,102832.99,107.41131,2025-01-28 08:29:59.999,11052678.9882505,36812,53.69734,5525107.1901584,0
2025-01-28 08:30:00,102832.99,102878.79,102637.75,102843.1,93.295,2025-01-28 08:44:59.999,9586101.0482454,38700,41.29546,4242776.3512109,0
2025-01-28 08:45:00,102843.1,102878.79,102707.35,102851.23,91.57973,2025-01-28 08:59:59.999,9412877.1388893,31761,37.44898,3848830.8145108,0
